datekey,datecalendarday,datecalendaryear,weeknumberofseason
4965,1,2018,2
4966,2,2018,2
4967,3,2018,2
4968,4,2018,2
4969,5,2018,2
4970,6,2018,2
4971,7,2018,3
4972,8,2018,3
4973,9,2018,3
4974,10,2018,3
4975,11,2018,3
4976,12,2018,3
4977,13,2018,3
4978,14,2018,4
4979,15,2018,4
4980,16,2018,4
4981,17,2018,4
4982,18,2018,4
4983,19,2018,4
4984,20,2018,4
4985,21,2018,5
4986,22,2018,5
4987,23,2018,5
4988,24,2018,5
4989,25,2018,5
4990,26,2018,5
4991,27,2018,5
4992,28,2018,6
4993,29,2018,6
4994,30,2018,6
4995,31,2018,6
4996,1,2018,6
4997,2,2018,6
4998,3,2018,6
4999,4,2018,7
5000,5,2018,7
5001,6,2018,7
5002,7,2018,7
5003,8,2018,7
5004,9,2018,7
5005,10,2018,7
5006,11,2018,8
5007,12,2018,8
5008,13,2018,8
5009,14,2018,8
5010,15,2018,8
5011,16,2018,8
5012,17,2018,8
5013,18,2018,9
5014,19,2018,9
5015,20,2018,9
5016,21,2018,9
5017,22,2018,9
5018,23,2018,9
5019,24,2018,9
5020,25,2018,10
5021,26,2018,10
5022,27,2018,10
5023,28,2018,10
5024,1,2018,10
5025,2,2018,10
5026,3,2018,10
5027,4,2018,11
5028,5,2018,11
5029,6,2018,11
5030,7,2018,11
5031,8,2018,11
5032,9,2018,11
5033,10,2018,11
5034,11,2018,12
5035,12,2018,12
5036,13,2018,12
5037,14,2018,12
5038,15,2018,12
5039,16,2018,12
5040,17,2018,12
5041,18,2018,13
5042,19,2018,13
5043,20,2018,13
5044,21,2018,13
5045,22,2018,13
5046,23,2018,13
5047,24,2018,13
5048,25,2018,1
5049,26,2018,1
5050,27,2018,1
5051,28,2018,1
5052,29,2018,1
5053,30,2018,1
5054,31,2018,1
5055,1,2018,2
5056,2,2018,2
5057,3,2018,2
5058,4,2018,2
5059,5,2018,2
5060,6,2018,2
5061,7,2018,2
5062,8,2018,3
5063,9,2018,3
5064,10,2018,3
5065,11,2018,3
5066,12,2018,3
5067,13,2018,3
5068,14,2018,3
5069,15,2018,4
5070,16,2018,4
5071,17,2018,4
5072,18,2018,4
5073,19,2018,4
5074,20,2018,4
5075,21,2018,4
5076,22,2018,5
5077,23,2018,5
5078,24,2018,5
5079,25,2018,5
5080,26,2018,5
5081,27,2018,5
5082,28,2018,5
5083,29,2018,6
5084,30,2018,6
5085,1,2018,6
5086,2,2018,6
5087,3,2018,6
5088,4,2018,6
5089,5,2018,6
5090,6,2018,7
5091,7,2018,7
5092,8,2018,7
5093,9,2018,7
5094,10,2018,7
5095,11,2018,7
5096,12,2018,7
5097,13,2018,8
5098,14,2018,8
5099,15,2018,8
5100,16,2018,8
5101,17,2018,8
5102,18,2018,8
5103,19,2018,8
5104,20,2018,9
5105,21,2018,9
5106,22,2018,9
5107,23,2018,9
5108,24,2018,9
5109,25,2018,9
5110,26,2018,9
5111,27,2018,10
5112,28,2018,10
5113,29,2018,10
5114,30,2018,10
5115,31,2018,10
5116,1,2018,10
5117,2,2018,10
5118,3,2018,11
5119,4,2018,11
5120,5,2018,11
5121,6,2018,11
5122,7,2018,11
5123,8,2018,11
5124,9,2018,11
5125,10,2018,12
5126,11,2018,12
5127,12,2018,12
5128,13,2018,12
5129,14,2018,12
5130,15,2018,12
5131,16,2018,12
5132,17,2018,13
5133,18,2018,13
5134,19,2018,13
5135,20,2018,13
5136,21,2018,13
5137,22,2018,13
5138,23,2018,13
5139,24,2018,1
5140,25,2018,1
5141,26,2018,1
5142,27,2018,1
5143,28,2018,1
5144,29,2018,1
5145,30,2018,1
5146,1,2018,2
5147,2,2018,2
5148,3,2018,2
5149,4,2018,2
5150,5,2018,2
5151,6,2018,2
5152,7,2018,2
5153,8,2018,3
5154,9,2018,3
5155,10,2018,3
5156,11,2018,3
5157,12,2018,3
5158,13,2018,3
5159,14,2018,3
5160,15,2018,4
5161,16,2018,4
5162,17,2018,4
5163,18,2018,4
5164,19,2018,4
5165,20,2018,4
5166,21,2018,4
5167,22,2018,5
5168,23,2018,5
5169,24,2018,5
5170,25,2018,5
5171,26,2018,5
5172,27,2018,5
5173,28,2018,5
5174,29,2018,6
5175,30,2018,6
5176,31,2018,6
5177,1,2018,6
5178,2,2018,6
5179,3,2018,6
5180,4,2018,6
5181,5,2018,7
5182,6,2018,7
5183,7,2018,7
5184,8,2018,7
5185,9,2018,7
5186,10,2018,7
5187,11,2018,7
5188,12,2018,8
5189,13,2018,8
5190,14,2018,8
5191,15,2018,8
5192,16,2018,8
5193,17,2018,8
5194,18,2018,8
5195,19,2018,9
5196,20,2018,9
5197,21,2018,9
5198,22,2018,9
5199,23,2018,9
5200,24,2018,9
5201,25,2018,9
5202,26,2018,10
5203,27,2018,10
5204,28,2018,10
5205,29,2018,10
5206,30,2018,10
5207,31,2018,10
5208,1,2018,10
5209,2,2018,11
5210,3,2018,11
5211,4,2018,11
5212,5,2018,11
5213,6,2018,11
5214,7,2018,11
5215,8,2018,11
5216,9,2018,12
5217,10,2018,12
5218,11,2018,12
5219,12,2018,12
5220,13,2018,12
5221,14,2018,12
5222,15,2018,12
5223,16,2018,13
5224,17,2018,13
5225,18,2018,13
5226,19,2018,13
5227,20,2018,13
5228,21,2018,13
5229,22,2018,13
5230,23,2018,1
5231,24,2018,1
5232,25,2018,1
5233,26,2018,1
5234,27,2018,1
5235,28,2018,1
5236,29,2018,1
5237,30,2018,2
5238,1,2018,2
5239,2,2018,2
5240,3,2018,2
5241,4,2018,2
5242,5,2018,2
5243,6,2018,2
5244,7,2018,3
5245,8,2018,3
5246,9,2018,3
5247,10,2018,3
5248,11,2018,3
5249,12,2018,3
5250,13,2018,3
5251,14,2018,4
5252,15,2018,4
5253,16,2018,4
5254,17,2018,4
5255,18,2018,4
5256,19,2018,4
5257,20,2018,4
5258,21,2018,5
5259,22,2018,5
5260,23,2018,5
5261,24,2018,5
5262,25,2018,5
5263,26,2018,5
5264,27,2018,5
5265,28,2018,6
5266,29,2018,6
5267,30,2018,6
5268,31,2018,6
5269,1,2018,6
5270,2,2018,6
5271,3,2018,6
5272,4,2018,7
5273,5,2018,7
5274,6,2018,7
5275,7,2018,7
5276,8,2018,7
5277,9,2018,7
5278,10,2018,7
5279,11,2018,8
5280,12,2018,8
5281,13,2018,8
5282,14,2018,8
5283,15,2018,8
5284,16,2018,8
5285,17,2018,8
5286,18,2018,9
5287,19,2018,9
5288,20,2018,9
5289,21,2018,9
5290,22,2018,9
5291,23,2018,9
5292,24,2018,9
5293,25,2018,10
5294,26,2018,10
5295,27,2018,10
5296,28,2018,10
5297,29,2018,10
5298,30,2018,10
5299,1,2018,10
5300,2,2018,11
5301,3,2018,11
5302,4,2018,11
5303,5,2018,11
5304,6,2018,11
5305,7,2018,11
5306,8,2018,11
5307,9,2018,12
5308,10,2018,12
5309,11,2018,12
5310,12,2018,12
5311,13,2018,12
5312,14,2018,12
5313,15,2018,12
5314,16,2018,13
5315,17,2018,13
5316,18,2018,13
5317,19,2018,13
5318,20,2018,13
5319,21,2018,13
5320,22,2018,13
5321,23,2018,1
5322,24,2018,1
5323,25,2018,1
5324,26,2018,1
5325,27,2018,1
5326,28,2018,1
5327,29,2018,1
5328,30,2018,2
5329,31,2018,2
